intra,HB,cg,1050,1219,1314,1409,1550,1609
8.4,65.2,485.0,3.667815357521942,3.8779758222943883,3.6275261443201803,9.104468872225297,5.916860596729244,4.724236476308125
5.8,88.1,65.5,2.7519404704991093,3.220496388867538,3.2122274808424063,7.703712062517376,6.010803857140644,5.078992801810877
8.1,18.8,770.4,4.046611164127132,4.0042574144122405,3.762512541373276,8.98383480580263,5.257278712993969,4.284361828780369
19.7,116.9,839.3,2.9729229300266855,3.2280167739237715,3.2007638930717395,7.859673219294034,6.241660536610542,5.0420098461520055
8.2,24.6,475.0,3.8868826819182996,4.082512424649803,3.783333457087682,8.902300582979919,5.80259465206127,4.3908176492532895
3.4,63.7,625.8,3.5739614871714878,3.8827820540490467,3.6125626227010272,9.147455519631961,5.93878735217131,4.626273989380429
16.1,61.8,499.8,4.344388004192602,4.074916256903087,3.8466166027806104,7.603308739901173,5.411346765725945,4.464643641531072
4.5,80.0,423.1,3.446031538947798,3.7478663511278043,3.6034006483115864,7.089929050953803,6.251129883158882,4.707603275976478
3.7,20.9,283.7,2.6550441296668996,3.27390132205632,3.270181194882051,8.017772192665976,5.907811046899656,4.968869608207392
19.1,68.8,855.3,4.299506671900172,4.115649067121723,3.87793854007316,7.993477860961214,5.124779492286528,4.239664804720373
13.8,109.0,121.1,2.8410797911083563,3.2112372726574865,3.174755490571391,8.176615180517217,6.012555739318703,4.884799129054034
6.6,182.2,257.0,3.750473642370716,3.6072604132729875,3.620775281014396,9.208480214693978,6.85929843039872,4.879671787328185
15.0,77.4,603.9,4.509123189431815,4.372495168231659,3.9139225733790486,8.935701946266867,5.056549132650435,4.297123986537219
19.2,149.3,217.5,4.762373831756168,4.197737010355517,3.931739492306164,8.707157139161275,5.055585122881656,4.67456846509339
10.9,164.9,13.1,2.733545706057681,3.024414813042002,3.134330329180136,7.853409269336922,6.337496965677918,5.179860942882534
13.2,165.9,971.3,4.645087269016365,4.215698099816684,3.967960406895852,7.209034255722155,5.580144631211571,4.3548953838223525
5.8,196.1,889.1,2.9572744189881472,3.088661102062824,3.1089975466249307,6.751179172104482,5.833130625530039,5.062861647541542
3.9,40.5,583.0,2.14019264332023,2.8131239565720776,2.8919888888583944,7.682102342052804,6.017578482865321,5.0629182889344655
8.7,57.3,417.3,2.805397973650493,3.3072286778236393,3.311139525065501,6.570614748429044,5.737192536785383,4.908309801146842
16.3,69.2,414.4,3.941619247555451,3.9629129530454072,3.931881094377344,6.805277937255106,5.732049897956934,4.653192193361626
15.3,69.2,210.3,3.6774244471505426,3.8684900818365193,3.941916826139721,10.206808329053196,5.714630563108781,4.635263622459092
3.5,132.1,939.7,3.5808244710220514,3.5605879034823413,3.4150219841917178,6.8661908906795155,5.974178382260668,4.681009655956338
8.1,50.5,882.2,4.261512643059628,3.91058017462554,3.8262761906635223,8.794252036068283,5.316147297501882,4.266688061608086
6.8,37.7,972.9,2.35758857578573,2.8998467792200557,2.9531102130589595,7.632642214204331,5.533648573626795,4.90725708129872
5.7,51.6,404.4,2.818179692281971,3.321836942664252,3.28732404150462,7.787027128582896,6.038750864450066,5.013304603738742
10.4,79.2,26.1,4.010048025733191,3.9816980143050458,3.8815229417490915,6.984260491878008,5.855200214066603,4.812746848910667
13.1,109.5,362.3,4.573085091137301,4.3504267909393555,3.855201004598662,10.598876231700629,5.290344107075384,4.383158621828912
10.3,175.9,341.5,4.654001064488536,4.261967458598658,3.980798671562294,8.408616534490651,5.922218149051226,4.904446334762191
11.7,199.0,204.3,3.509494310463598,3.5124043310846,3.3918534865128454,8.54638123924548,5.776919663968002,5.049673391714187
2.4,195.4,311.3,4.325918086837017,4.199723622567497,3.895130590057226,8.250904747848413,5.57364145425305,4.672277181765811
13.3,119.8,887.1,4.012699481346356,3.9913415408632975,3.7180925615896214,7.923019488894738,6.04699951290522,4.61021229500118
11.9,15.6,519.6,2.0419700338444695,2.790705367715052,2.938181404923313,6.959025254317453,5.916592929126832,4.844412366870785
6.1,92.7,329.3,4.543761153187198,4.252998730463744,3.800857837226136,8.2048765571068,5.286985208402829,4.383782550084483
18.8,32.4,317.4,2.44033716561991,3.0757973242966425,3.0847496674073884,8.740159930605174,6.172202196829396,4.996773940306685
8.5,126.4,67.3,3.722637830718515,4.1067738055745355,3.7036742533005285,9.902559701712256,6.239402228021003,4.655331999167064
20.0,48.2,481.7,3.7752781628315475,4.056811419678343,3.915196823895064,8.604508701732485,5.2425223827563805,4.175468923794263
17.9,146.6,101.7,2.675883749053506,3.0270349348374115,3.122243544562025,7.820936782732733,5.830492854510915,5.1946435729833595
4.6,199.8,321.9,3.745182274908217,3.727932476666915,3.6031199522103954,8.083667360237982,6.613877084156357,4.827325598155518
14.2,11.3,168.2,4.115784063377767,4.180191284554201,3.807181280424233,8.354837582605064,5.595844000317587,4.485246285329136
15.7,114.5,21.2,3.221200042161305,3.433733932961072,3.447646799159015,7.577397395066438,6.2870405105692555,4.773998392280589
4.3,164.4,496.9,4.029061832744755,4.058417637991582,3.8786757551719937,6.748012413395426,5.684442476886783,4.672863140958253
14.7,26.9,569.7,2.640410186918597,3.2084582462515012,3.180602081147594,7.87399346657125,6.209832732859574,5.049376714625041
16.4,16.1,59.2,3.4923509038817784,3.8701688933669196,3.780483842316828,6.905566585579276,5.7577744318561415,4.749402624638652
7.3,153.6,732.8,4.218911861310453,4.2366085607198265,3.7891835746348086,7.744802471966771,5.530489855914407,4.556370328697941
18.9,63.2,75.1,2.33347884078535,2.8837083515244704,3.032884094797229,7.882355205327912,6.491857864385306,5.262674128277897
14.8,63.3,532.2,2.520565752851436,3.0985117009627654,3.139639635379856,8.246102353114491,6.462335184834984,4.921225470438117
2.9,163.4,779.9,2.4875390477529535,2.863362046656704,2.938865951355149,7.350539823285374,6.121364177985246,4.974104721832639
19.5,16.8,265.5,3.173294193843411,3.7803016857133045,3.6186002729335236,8.51596844869821,6.687654706467622,4.731949201983163
16.1,147.6,317.6,5.180591865576947,4.345408183668685,3.9796899703212674,9.615796062688482,5.188736637961128,4.366528028304572
3.4,44.4,917.2,3.3927967994817774,3.724387834784814,3.4197787889777356,7.398525062706032,5.933358527158223,4.573149000125351
14.5,115.6,941.5,3.5086752274464867,3.4775199581105287,3.424960445732717,6.742582161104007,6.016725368236941,4.691596544844895
15.7,155.1,751.1,3.1855404719405556,3.284455410309228,3.217258314280935,7.867788826177588,6.18276684802759,5.0707577869905265
13.7,163.2,890.3,3.1344213052308163,3.3057346018458826,3.1804592606007187,7.5393407634892355,6.4182596177289675,4.989277981197571
6.2,132.9,716.3,4.246615917120241,4.130697898760602,3.924285408562927,8.137135661119785,5.407145777105988,4.466964642309989
4.4,143.8,940.6,3.9135009072453872,3.9399221456171407,3.495940566215735,7.5966546650508455,6.133131728202166,4.706332024002457
2.7,83.1,761.1,2.845952643254387,3.2385718433632924,3.166825446763866,7.883861612685045,6.1197687204740525,4.943129906054789
