intra,HB,cg,1050,1219,1314,1409,1550,1609
10.5,82.8,500.2,3.4610976766296293,3.8274654982219953,3.5455491548007068,8.4596754772078,6.247586211503009,4.782811424097229
6.8,198.6,162.7,3.138358682062293,3.3229339213843883,3.250425385125432,8.136739424461215,6.051215781672813,5.019342703296399
10.2,102.3,968.5,4.283913542415505,4.10429249280747,3.7319502647321894,7.630463101480373,5.612409043175116,4.220190641939375
4.9,51.0,155.3,2.270735768929354,2.8768049104580875,3.01637168810794,8.104857817073096,6.473759877173002,4.949089918316279
19.3,114.6,644.5,4.134271270490885,4.2197889562116835,3.7777376275393486,7.037503806767663,5.557856729285639,4.551589181791801
12.3,143.8,950.2,4.183247535502289,4.018031490318059,3.6844785840044203,8.988337806931174,5.999132254104747,4.538944574791731
3.9,197.5,967.2,2.549608978808447,2.87287787613106,2.9039644407125706,7.445917115665246,5.968606941859946,4.937095165752179
17.2,36.7,157.6,4.076407226393009,4.119322649752991,3.7168673762651423,10.036294775034872,5.5899332540656985,4.420367318484512
6.7,7.8,430.2,2.54821871794349,3.2771673480704546,3.2400991613339283,8.063602250397842,5.530928300936999,4.981868009340115
13.3,91.9,292.7,3.834937812889713,4.040255286109442,3.9151073651493213,7.547354979721835,5.9963052570680055,4.471243225152449
2.4,197.1,287.2,4.387505037135238,4.4245582523572615,3.9817705484374617,8.19557494990715,6.012313072844446,4.580256985207587
3.5,137.1,626.4,3.6448142778347403,3.673753768057855,3.62432196504526,8.396278986075792,6.541735458314481,4.70037122781909
19.7,82.7,426.1,2.9271302273639996,3.3411482309665264,3.3228758189354775,7.939638600657368,5.710476429646302,5.025887919244752
7.8,174.9,636.1,2.957290480601639,3.1853379218014304,3.117672920307715,7.1353036415196165,6.375410247932976,5.086788093761431
17.6,94.6,203.9,3.368575570207957,3.556727867914569,3.5645320545888364,6.527631682585358,6.202929429341044,5.053076943330485
10.2,170.6,743.2,4.194008041408257,4.11896603085636,3.9693348004090243,5.710454462762346,5.430330726460188,4.423067562644668
5.9,170.5,551.3,2.5917098614323244,2.9749563285655043,3.0215866179394286,7.705532251365877,5.955366717847031,5.0212374165724505
16.0,2.3,127.2,4.407055551766721,4.542295052663587,3.84837047552681,8.404176380984762,5.407239771495345,4.312983711626828
6.5,94.8,445.2,3.5434196908110227,3.797224115992895,3.5651905518673033,7.9059215028302745,5.870382807088422,4.728019428900538
15.7,101.3,803.2,2.937582205093962,3.2739967801650653,3.096283165708284,7.892072602862836,6.12464071318221,4.837215376479566
17.0,132.6,38.0,3.974710113263857,5.0290939322140815,3.9652622260028885,6.9307418695011265,5.3821294086565565,4.350990104253331
10.7,76.9,991.9,2.760774137661979,3.1374679017807736,3.082341318294736,7.347008252619904,5.97076627607786,5.000959081441319
10.0,68.4,15.9,4.889456417971381,4.683628792497114,3.8762752611202096,7.410430038492386,4.790802129171382,4.26784996319676
14.1,36.2,431.1,4.365807664812909,4.2633792587331705,3.761147861456786,9.499173678694628,5.079352851163801,4.336263927757752
8.7,173.9,226.6,3.433452673067743,3.4467958781713506,3.429448729423239,8.575478751033131,6.1165748989860305,5.0311760482755155
9.7,72.1,7.7,2.9670318340912054,3.4452945199623866,3.378629239171003,7.98259442875057,6.36833780838111,4.935319274751855
7.3,101.5,145.9,3.7204779177904115,3.988429471064226,3.95408818212762,9.847022343981315,5.896451450478544,4.716194034851824
13.5,72.3,384.2,3.5029009865593945,3.79697048301602,3.6121607135563227,7.971988588014625,5.886393598612191,4.547124209008665
10.5,74.3,545.0,3.468702800974901,3.73765716544775,3.4657545346422953,8.340967243155855,6.03654979745599,4.8455046401567685
14.0,83.2,94.6,4.5698351965016535,4.358184239651472,4.001417370534458,8.577987995961188,5.394820719139457,4.260510915479664
2.7,27.3,386.8,2.66435753017422,3.3256960398362843,3.216631431320188,7.687696278507715,5.8572653070627325,4.905541753029649
16.8,144.9,922.2,2.764694523931995,3.0554118347322685,3.0483077386629365,8.306464931689213,5.760745559162952,4.852137310636309
8.4,185.7,249.4,4.32061496497688,4.356814622522666,3.8922111051802855,7.319880231542978,5.659898941979623,4.59887238100394
19.8,25.1,228.6,2.421152673319499,3.091127541527081,3.1717971693688103,8.131958995833582,6.200284618892649,4.8988335193055725
8.3,73.9,828.3,3.786728222100969,3.8628863537229243,3.6085302753446005,7.211278849515015,5.637887040390829,4.559839656966567
13.3,57.9,67.2,3.647128207314097,4.080140099024483,3.898058862689293,8.861699797878416,5.624877370076383,4.746711735218039
5.4,114.9,778.9,3.84171752463784,3.9732536040400515,3.6280554259637157,7.7178373121412704,5.859294493751349,4.75389327373712
11.8,145.1,193.7,2.9219810211140587,3.24469886493552,3.2028649921118824,7.971323141777663,6.394750099039911,5.0579691692031545
14.5,39.8,83.8,3.2955537262944627,3.8414627118253595,3.658864947927185,9.407030005248856,6.300774401546445,4.774427470868201
9.6,170.5,271.9,3.712472746205002,3.6645702848617105,3.5521243404361496,7.87466654447012,6.458320611285988,4.911579324036044
2.6,104.6,826.5,3.183588103116172,3.456665138018888,3.265639672027733,7.7070649507041935,5.855129414754639,4.691013669358792
16.9,133.0,962.7,2.371555980583299,2.8083796625572237,2.848530926990298,7.691207013975248,5.912183146539412,4.987969626887924
